stocks
"{'symbol': 'AAPL', 'name': 'Apple Inc.', 'price': 142.45, 'change': -1.23, 'percent_change': -0.85, 'volume': 25678432, 'date': '2024-06-15'}"
"{'symbol': 'ADBE', 'name': 'Adobe Inc.', 'price': 600.8, 'change': 9.3, 'percent_change': 1.57, 'volume': 987654, 'date': '2024-06-15'}"
"{'symbol': 'CSCO', 'name': 'Cisco Systems Inc.', 'price': 52.1, 'change': 0.9, 'percent_change': 1.76, 'volume': 234567, 'date': '2024-06-15'}"
"{'symbol': 'QCOM', 'name': 'Qualcomm Inc.', 'price': 148.25, 'change': 1.6, 'percent_change': 1.09, 'volume': 456789, 'date': '2024-06-15'}"
"{'symbol': 'IBM', 'name': 'International Business Machines Corporation', 'price': 123.8, 'change': -0.75, 'percent_change': -0.6, 'volume': 567890, 'date': '2024-06-15'}"
"{'symbol': 'BABA', 'name': 'Alibaba Group Holding Limited', 'price': 210.6, 'change': -3.4, 'percent_change': -1.59, 'volume': 678901, 'date': '2024-06-15'}"
"{'symbol': 'PG', 'name': 'Procter & Gamble Co.', 'price': 138.9, 'change': 2.1, 'percent_change': 1.54, 'volume': 789012, 'date': '2024-06-15'}"
"{'symbol': 'PFE', 'name': 'Pfizer Inc.', 'price': 47.2, 'change': -0.3, 'percent_change': -0.63, 'volume': 890123, 'date': '2024-06-15'}"
"{'symbol': 'KO', 'name': 'The Coca-Cola Company', 'price': 56.8, 'change': 0.1, 'percent_change': 0.18, 'volume': 901234, 'date': '2024-06-15'}"
"{'symbol': 'NFLX', 'name': 'Netflix Inc.', 'price': 412.3, 'change': -3.45, 'percent_change': -0.83, 'volume': 1789456, 'date': '2024-06-15'}"
"{'symbol': 'MRNA', 'name': 'Moderna Inc.', 'price': 195.6, 'change': 1.2, 'percent_change': 0.62, 'volume': 1122334, 'date': '2024-06-15'}"
"{'symbol': 'SPOT', 'name': 'Spotify Technology S.A.', 'price': 235.4, 'change': 4.5, 'percent_change': 1.95, 'volume': 1456789, 'date': '2024-06-15'}"
"{'symbol': 'ABNB', 'name': 'Airbnb Inc.', 'price': 172.3, 'change': -0.8, 'percent_change': -0.46, 'volume': 223344, 'date': '2024-06-15'}"
"{'symbol': 'NKE', 'name': 'Nike Inc.', 'price': 152.7, 'change': 2.8, 'percent_change': 1.87, 'volume': 334455, 'date': '2024-06-15'}"
"{'symbol': 'AMD', 'name': 'Advanced Micro Devices Inc.', 'price': 102.8, 'change': -0.5, 'percent_change': -0.48, 'volume': 556677, 'date': '2024-06-15'}"
"{'symbol': 'F', 'name': 'Ford Motor Company', 'price': 15.6, 'change': 0.15, 'percent_change': 0.97, 'volume': 112233, 'date': '2024-06-15'}"
"{'symbol': 'GM', 'name': 'General Motors Company', 'price': 67.4, 'change': -0.2, 'percent_change': -0.3, 'volume': 445566, 'date': '2024-06-15'}"
"{'symbol': 'SBUX', 'name': 'Starbucks Corporation', 'price': 98.5, 'change': 1.1, 'percent_change': 1.13, 'volume': 667788, 'date': '2024-06-15'}"
"{'symbol': 'CRM', 'name': 'Salesforce.com Inc.', 'price': 260.15, 'change': 4.2, 'percent_change': 1.64, 'volume': 1324567, 'date': '2024-06-15'}"
"{'symbol': 'MCD', 'name': ""McDonald's Corporation"", 'price': 245.8, 'change': -0.4, 'percent_change': -0.16, 'volume': 778899, 'date': '2024-06-15'}"
"{'symbol': 'WMT', 'name': 'Walmart Inc.', 'price': 140.2, 'change': -0.8, 'percent_change': -0.57, 'volume': 889900, 'date': '2024-06-15'}"
"{'symbol': 'PYPL', 'name': 'PayPal Holdings Inc.', 'price': 285.8, 'change': 0.9, 'percent_change': 0.32, 'volume': 2456789, 'date': '2024-06-15'}"
"{'symbol': 'VZ', 'name': 'Verizon Communications Inc.', 'price': 55.3, 'change': -0.1, 'percent_change': -0.18, 'volume': 345678, 'date': '2024-06-15'}"
"{'symbol': 'T', 'name': 'AT&T Inc.', 'price': 28.9, 'change': 0.05, 'percent_change': 0.17, 'volume': 456789, 'date': '2024-06-15'}"
"{'symbol': 'ORCL', 'name': 'Oracle Corporation', 'price': 82.6, 'change': 1.2, 'percent_change': 1.47, 'volume': 567890, 'date': '2024-06-15'}"
"{'symbol': 'BA', 'name': 'The Boeing Company', 'price': 215.3, 'change': -1.5, 'percent_change': -0.69, 'volume': 678901, 'date': '2024-06-15'}"
"{'symbol': 'HD', 'name': 'The Home Depot Inc.', 'price': 320.4, 'change': -2.3, 'percent_change': -0.71, 'volume': 789012, 'date': '2024-06-15'}"
"{'symbol': 'DIS', 'name': 'The Walt Disney Company', 'price': 170.9, 'change': 2.6, 'percent_change': 1.55, 'volume': 890123, 'date': '2024-06-15'}"
"{'symbol': 'LMT', 'name': 'Lockheed Martin Corporation', 'price': 390.7, 'change': 1.8, 'percent_change': 0.46, 'volume': 901234, 'date': '2024-06-15'}"
"{'symbol': 'UNH', 'name': 'UnitedHealth Group Incorporated', 'price': 415.2, 'change': 3.4, 'percent_change': 0.83, 'volume': 112233, 'date': '2024-06-15'}"
"{'symbol': 'ABBV', 'name': 'AbbVie Inc.', 'price': 116.8, 'change': -0.6, 'percent_change': -0.51, 'volume': 334455, 'date': '2024-06-15'}"
"{'symbol': 'LRCX', 'name': 'Lam Research Corporation', 'price': 583.1, 'change': -2.9, 'percent_change': -0.5, 'volume': 556677, 'date': '2024-06-15'}"
"{'symbol': 'TXN', 'name': 'Texas Instruments Incorporated', 'price': 185.2, 'change': 0.8, 'percent_change': 0.43, 'volume': 112233, 'date': '2024-06-15'}"
"{'symbol': 'SO', 'name': 'The Southern Company', 'price': 65.7, 'change': 0.2, 'percent_change': 0.31, 'volume': 445566, 'date': '2024-06-15'}"
"{'symbol': 'CL', 'name': 'Colgate-Palmolive Company', 'price': 85.4, 'change': 0.5, 'percent_change': 0.59, 'volume': 667788, 'date': '2024-06-15'}"
"{'symbol': 'LOW', 'name': ""Lowe's Companies Inc."", 'price': 200.1, 'change': 1.3, 'percent_change': 0.65, 'volume': 778899, 'date': '2024-06-15'}"
"{'symbol': 'CAT', 'name': 'Caterpillar Inc.', 'price': 232.8, 'change': -1.2, 'percent_change': -0.51, 'volume': 889900, 'date': '2024-06-15'}"
"{'symbol': 'MMM', 'name': '3M Company', 'price': 175.6, 'change': 0.8, 'percent_change': 0.46, 'volume': 112233, 'date': '2024-06-15'}"
"{'symbol': 'GOOG', 'name': 'Alphabet Inc.', 'price': 2731.2, 'change': 12.45, 'percent_change': 0.46, 'volume': 1568945, 'date': '2024-06-15'}"
"{'symbol': 'BAC', 'name': 'Bank of America Corporation', 'price': 43.8, 'change': -0.2, 'percent_change': -0.45, 'volume': 223344, 'date': '2024-06-15'}"
"{'symbol': 'GS', 'name': 'The Goldman Sachs Group Inc.', 'price': 398.7, 'change': 2.1, 'percent_change': 0.53, 'volume': 334455, 'date': '2024-06-15'}"
